,player,nationality,position,team,age,birth_year,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,matches
133,Craig Dawson,eng,DF,Wolves,33,1990,24.5,12,0.49,8,0,0,3,0,1,1,0.04,0,0,0,1,0,0,Matches
134,Kevin De Bruyne,be,MF,Manchester City,32,1991,13.6,100,7.36,73,17,2,5,3,0,16,1.18,12,3,0,0,1,0,Matches
135,Hannes Delcroix,be,DF,Burnley,24,1999,6.5,7,1.07,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
136,Leander Dendoncker,be,MF,Aston Villa,28,1995,1.3,2,1.51,1,0,0,0,1,0,1,0.76,0,0,0,0,1,0,Matches
137,Moussa Diaby,fr,"FW,MF",Aston Villa,24,1999,24.2,80,3.31,64,1,6,7,2,0,10,0.41,9,0,1,0,0,0,Matches
138,Amad Diallo,ci,"FW,MF",Manchester Utd,21,2002,4.3,20,4.62,16,0,3,1,0,0,0,0.00,0,0,0,0,0,0,Matches
139,Amadou Diallo,eng,MF,Newcastle Utd,20,2003,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
140,Rúben Dias,pt,DF,Manchester City,26,1997,28.4,35,1.23,28,0,0,5,0,2,4,0.14,2,0,0,1,0,1,Matches
141,Luis Díaz,co,FW,Liverpool,26,1997,29.2,163,5.58,121,1,17,15,8,1,9,0.31,9,0,0,0,0,0,Matches
142,Eric Dier,eng,DF,Tottenham,29,1994,2.2,2,0.90,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
143,Lucas Digne,fr,DF,Aston Villa,30,1993,26.8,74,2.76,48,19,0,3,3,1,4,0.15,4,0,0,0,0,0,Matches
144,Issa Diop,fr,DF,Fulham,26,1997,15.8,4,0.25,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
145,Axel Disasi,fr,DF,Chelsea,25,1998,28.7,13,0.45,13,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
146,Ben Doak,sct,FW,Liverpool,17,2005,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
147,Lewis Dobbin,eng,MF,Everton,20,2003,2.6,6,2.33,3,0,0,2,1,0,0,0.00,0,0,0,0,0,0,Matches
148,Matt Doherty,ie,"DF,MF",Wolves,31,1992,12.8,19,1.48,18,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
149,Jeremy Doku,be,"FW,MF",Manchester City,21,2002,17.7,111,6.26,82,1,17,6,5,0,15,0.85,10,0,2,1,2,0,Matches
150,Nicolás Domínguez,ar,"MF,FW",Nott'ham Forest,25,1998,16.6,35,2.11,33,0,0,2,0,0,2,0.12,2,0,0,0,0,0,Matches
151,Jamie Donley,eng,FW,Tottenham,18,2005,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
152,Abdoulaye Doucouré,ml,"FW,MF",Everton,30,1993,29.2,67,2.29,59,0,0,6,1,1,5,0.17,3,0,0,2,0,0,Matches
153,Cheick Doucouré,ml,MF,Crystal Palace,23,2000,10.2,23,2.25,19,0,1,2,0,1,3,0.29,3,0,0,0,0,0,Matches
154,Alfie Doughty,eng,DF,Luton Town,23,1999,32.5,115,3.54,57,47,4,6,1,0,16,0.49,8,5,1,2,0,0,Matches
155,Tommy Doyle,eng,MF,Wolves,21,2001,13.6,26,1.91,20,6,0,0,0,0,5,0.37,4,1,0,0,0,0,Matches
156,Radu Drăgușin,ro,DF,Tottenham,21,2002,4.8,1,0.21,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
157,Martin Dúbravka,sk,GK,Newcastle Utd,34,1989,22.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
158,Paul Dummett,wls,DF,Newcastle Utd,31,1991,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
159,Lewis Dunk,eng,DF,Brighton,31,1991,31.9,48,1.51,39,3,0,6,0,0,7,0.22,6,0,0,1,0,0,Matches
160,Jhon Durán,co,"FW,MF",Aston Villa,19,2003,5.3,12,2.27,8,0,1,1,1,1,4,0.76,1,0,1,0,1,1,Matches
161,George Earthy,eng,FW,West Ham,18,2004,0.4,2,5.29,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
162,Ederson,br,GK,Manchester City,29,1993,30.9,7,0.23,5,2,0,0,0,0,2,0.06,2,0,0,0,0,0,Matches
163,Odsonne Édouard,fr,"FW,MF",Crystal Palace,25,1998,17.3,45,2.60,29,0,7,7,1,1,2,0.12,2,0,0,0,0,0,Matches
164,John Egan,ie,DF,Sheffield Utd,30,1992,5.4,1,0.19,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
165,Hjalmar Ekdal,se,DF,Burnley,24,1998,4.9,2,0.41,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
166,Anthony Elanga,se,"FW,MF",Nott'ham Forest,21,2002,27.0,70,2.59,53,0,6,6,4,1,13,0.48,12,0,0,0,0,1,Matches
167,Harvey Elliott,eng,"MF,FW",Liverpool,20,2003,15.0,78,5.19,61,9,2,3,1,2,10,0.67,6,1,1,0,1,1,Matches
168,Mohamed Elneny,eg,MF,Arsenal,31,1992,0.3,1,3.21,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
169,Emerson,br,DF,Tottenham,24,1999,12.9,21,1.63,15,2,0,1,2,1,3,0.23,1,2,0,0,0,0,Matches
170,Julio Enciso,py,"MF,FW",Brighton,19,2004,5.3,23,4.34,15,0,5,3,0,0,2,0.38,2,0,0,0,0,0,Matches
171,Wataru Endo,jp,MF,Liverpool,30,1993,19.1,54,2.82,43,0,2,4,2,3,3,0.16,3,0,0,0,0,0,Matches
172,Christian Eriksen,dk,MF,Manchester Utd,31,1992,12.7,46,3.63,36,8,0,0,0,2,3,0.24,2,0,0,0,0,1,Matches
173,Maxime Estève,fr,DF,Burnley,21,2002,14.5,8,0.55,6,0,0,0,2,0,1,0.07,1,0,0,0,0,0,Matches
174,Pervis Estupiñán,ec,DF,Brighton,25,1998,13.8,42,3.04,37,3,1,1,0,0,2,0.14,2,0,0,0,0,0,Matches
175,Jonny Evans,nir,DF,Manchester Utd,35,1988,15.5,11,0.71,11,0,0,0,0,0,2,0.13,2,0,0,0,0,0,Matches
