,player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
100,Ben Chilwell,eng,DF,Chelsea,26,1996,8.4,15,10,5,9,1,5,8,62.5,3,11,3,8,4,19,19,1,Matches
101,Tawanda Chirewa,zw,"MF,FW",Wolves,19,2003,1.6,7,3,3,3,1,2,3,66.7,1,0,0,0,1,8,0,0,Matches
102,Leon Chiwome,eng,FW,Wolves,17,2006,1.9,2,1,0,1,1,1,2,50.0,1,3,1,2,0,2,2,0,Matches
103,Tahith Chong,nl,"MF,FW",Luton Town,23,1999,22.0,36,22,19,13,4,15,33,45.5,18,30,6,24,8,44,11,1,Matches
104,Ryan Christie,sct,MF,Bournemouth,28,1995,32.3,86,44,34,35,17,39,92,42.4,53,52,11,41,52,138,53,1,Matches
105,Carney Chukwuemeka,eng,"MF,FW",Chelsea,19,2003,2.5,6,4,3,3,0,1,3,33.3,2,1,1,0,0,6,1,0,Matches
106,Bobby Clark,eng,MF,Liverpool,18,2005,1.0,2,1,1,1,0,1,5,20.0,4,6,2,4,1,3,1,0,Matches
107,Jordan Clark,eng,MF,Luton Town,29,1993,14.5,30,17,14,11,5,11,39,28.2,28,24,3,21,11,41,15,1,Matches
108,Nathaniel Clyne,eng,DF,Crystal Palace,32,1991,14.9,24,15,11,11,2,14,21,66.7,7,18,6,12,10,34,33,0,Matches
109,Séamus Coleman,ie,DF,Everton,34,1988,7.4,17,14,10,3,4,11,16,68.8,5,12,4,8,7,24,26,1,Matches
110,Nathan Collins,ie,DF,Brentford,22,2001,29.5,38,20,24,12,2,19,29,65.5,10,46,30,16,44,82,141,4,Matches
111,Levi Colwill,eng,DF,Chelsea,20,2003,20.0,48,30,26,17,5,26,34,76.5,8,28,10,18,26,74,66,0,Matches
112,Lewis Cook,eng,MF,Bournemouth,26,1997,31.0,61,41,24,30,7,34,63,54.0,29,32,11,21,65,126,46,1,Matches
113,Jack Cork,eng,MF,Burnley,34,1989,0.3,2,0,0,2,0,1,3,33.3,2,0,0,0,1,3,1,0,Matches
114,Maxwel Cornet,ci,"MF,FW",West Ham,26,1996,1.2,3,2,3,0,0,1,5,20.0,4,2,0,2,2,5,1,0,Matches
115,Vladimír Coufal,cz,DF,West Ham,30,1992,34.8,64,41,50,12,2,38,75,50.7,37,49,15,34,43,107,97,0,Matches
116,Philippe Coutinho,br,"MF,FW",Aston Villa,31,1992,0.3,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
117,Aaron Cresswell,eng,"DF,FW",West Ham,33,1989,4.8,3,2,1,1,1,2,3,66.7,1,5,3,2,3,6,7,0,Matches
118,Marc Cucurella,es,DF,Chelsea,25,1998,19.8,62,38,36,21,5,34,64,53.1,30,36,13,23,22,84,48,0,Matches
119,Josh Cullen,ie,MF,Burnley,27,1996,22.9,42,29,15,22,5,26,46,56.5,20,31,19,12,15,57,26,1,Matches
120,Matheus Cunha,br,"FW,MF",Wolves,24,1999,27.1,30,16,8,17,5,13,35,37.1,22,28,7,21,13,43,21,1,Matches
121,Sam Curtis,ie,DF,Sheffield Utd,17,2005,0.3,1,0,1,0,0,1,2,50.0,1,2,0,2,0,1,0,0,Matches
122,Mahmoud Dahoud,de,MF,Brighton,27,1996,5.0,9,4,2,4,3,3,9,33.3,6,4,1,3,1,10,5,0,Matches
123,Ameen Al-Dakhil,be,DF,Burnley,21,2002,11.7,12,5,4,7,1,1,10,10.0,9,13,6,7,12,24,38,2,Matches
124,Diogo Dalot,pt,DF,Manchester Utd,24,1999,35.3,81,51,58,12,11,51,74,68.9,23,44,16,28,37,118,111,0,Matches
125,Mikkel Damsgaard,dk,MF,Brentford,23,2000,9.4,29,17,13,9,7,14,40,35.0,26,23,1,22,11,40,10,1,Matches
126,Danilo,br,MF,Nott'ham Forest,22,2001,19.9,36,18,22,12,2,21,46,45.7,25,33,8,25,35,71,42,0,Matches
127,Arnaut Danjuma,nl,"MF,FW",Everton,26,1997,6.6,6,4,2,3,1,1,4,25.0,3,4,0,4,3,9,0,0,Matches
128,Jayden Danns,eng,FW,Liverpool,17,2006,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
129,Josh Dasilva,eng,"DF,FW",Brentford,24,1998,0.3,2,1,0,1,1,0,0,,0,0,0,0,0,2,0,0,Matches
130,David Datro Fofana,ci,FW,Burnley,20,2002,9.8,10,5,3,5,2,3,6,50.0,3,9,3,6,1,11,2,0,Matches
131,Ben Davies,wls,DF,Tottenham,30,1993,12.1,24,17,13,8,3,16,21,76.2,5,17,15,2,10,34,35,0,Matches
132,Tom Davies,eng,MF,Sheffield Utd,25,1998,2.5,10,5,4,3,3,3,9,33.3,6,2,1,1,3,13,6,1,Matches
133,Craig Dawson,eng,DF,Wolves,33,1990,24.5,30,20,23,6,1,22,34,64.7,12,51,39,12,16,46,120,1,Matches
134,Kevin De Bruyne,be,MF,Manchester City,32,1991,13.6,14,9,1,5,8,7,20,35.0,13,5,0,5,4,18,4,0,Matches
135,Hannes Delcroix,be,DF,Burnley,24,1999,6.5,10,6,6,4,0,3,4,75.0,1,9,3,6,9,19,26,0,Matches
136,Leander Dendoncker,be,MF,Aston Villa,28,1995,1.3,6,4,3,2,1,4,5,80.0,1,5,2,3,2,8,3,1,Matches
137,Moussa Diaby,fr,"FW,MF",Aston Villa,24,1999,24.2,12,5,5,4,3,4,22,18.2,18,8,1,7,9,21,6,0,Matches
138,Amad Diallo,ci,"FW,MF",Manchester Utd,21,2002,4.3,10,3,1,6,3,3,7,42.9,4,3,1,2,1,11,6,0,Matches
139,Amadou Diallo,eng,MF,Newcastle Utd,20,2003,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
140,Rúben Dias,pt,DF,Manchester City,26,1997,28.4,39,20,14,21,4,19,26,73.1,7,32,17,15,30,69,77,0,Matches
141,Luis Díaz,co,FW,Liverpool,26,1997,29.2,35,25,5,17,13,7,30,23.3,23,15,0,15,3,38,8,0,Matches
142,Eric Dier,eng,DF,Tottenham,29,1994,2.2,2,1,2,0,0,2,2,100.0,0,3,3,0,2,4,12,0,Matches
143,Lucas Digne,fr,DF,Aston Villa,30,1993,26.8,47,19,35,9,3,25,44,56.8,19,20,2,18,26,73,67,0,Matches
144,Issa Diop,fr,DF,Fulham,26,1997,15.8,30,16,23,5,2,15,20,75.0,5,28,19,9,17,47,80,1,Matches
145,Axel Disasi,fr,DF,Chelsea,25,1998,28.7,33,19,20,10,3,23,30,76.7,7,26,19,7,18,51,102,2,Matches
146,Ben Doak,sct,FW,Liverpool,17,2005,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
147,Lewis Dobbin,eng,MF,Everton,20,2003,2.6,9,7,3,5,1,5,9,55.6,4,5,1,4,1,10,0,0,Matches
148,Matt Doherty,ie,"DF,MF",Wolves,31,1992,12.8,31,18,17,10,4,12,23,52.2,11,15,5,10,7,38,47,0,Matches
149,Jeremy Doku,be,"FW,MF",Manchester City,21,2002,17.7,39,22,13,12,14,9,20,45.0,11,14,0,14,9,48,5,0,Matches
150,Nicolás Domínguez,ar,"MF,FW",Nott'ham Forest,25,1998,16.6,63,34,35,27,1,23,48,47.9,25,31,5,26,18,81,24,0,Matches
151,Jamie Donley,eng,FW,Tottenham,18,2005,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,Matches
152,Abdoulaye Doucouré,ml,"FW,MF",Everton,30,1993,29.2,43,27,20,14,9,18,46,39.1,28,23,3,20,15,58,19,0,Matches
153,Cheick Doucouré,ml,MF,Crystal Palace,23,2000,10.2,34,17,15,13,6,18,30,60.0,12,13,2,11,20,54,12,0,Matches
154,Alfie Doughty,eng,DF,Luton Town,23,1999,32.5,63,40,29,18,16,37,82,45.1,45,51,9,42,31,94,43,4,Matches
155,Tommy Doyle,eng,MF,Wolves,21,2001,13.6,26,13,11,10,5,14,23,60.9,9,22,9,13,12,38,18,0,Matches
156,Radu Drăgușin,ro,DF,Tottenham,21,2002,4.8,5,3,5,0,0,3,3,100.0,0,5,4,1,8,13,19,0,Matches
157,Martin Dúbravka,sk,GK,Newcastle Utd,34,1989,22.1,0,0,0,0,0,0,4,0.0,4,0,0,0,0,0,8,1,Matches
158,Paul Dummett,wls,DF,Newcastle Utd,31,1991,0.2,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0,Matches
159,Lewis Dunk,eng,DF,Brighton,31,1991,31.9,27,14,17,9,1,13,36,36.1,23,49,37,12,31,58,90,1,Matches
160,Jhon Durán,co,"FW,MF",Aston Villa,19,2003,5.3,6,5,3,1,2,1,6,16.7,5,6,0,6,1,7,10,0,Matches
161,George Earthy,eng,FW,West Ham,18,2004,0.4,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,Matches
162,Ederson,br,GK,Manchester City,29,1993,30.9,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,10,1,Matches
163,Odsonne Édouard,fr,"FW,MF",Crystal Palace,25,1998,17.3,24,12,8,8,8,4,19,21.1,15,17,1,16,6,30,19,0,Matches
164,John Egan,ie,DF,Sheffield Utd,30,1992,5.4,6,4,4,2,0,4,11,36.4,7,10,4,6,13,19,39,1,Matches
165,Hjalmar Ekdal,se,DF,Burnley,24,1998,4.9,4,2,2,2,0,2,4,50.0,2,10,5,5,6,10,21,0,Matches
166,Anthony Elanga,se,"FW,MF",Nott'ham Forest,21,2002,27.0,33,19,20,6,7,17,36,47.2,19,22,2,20,8,41,20,1,Matches
167,Harvey Elliott,eng,"MF,FW",Liverpool,20,2003,15.0,27,17,8,14,5,10,31,32.3,21,27,0,27,6,33,7,0,Matches
168,Mohamed Elneny,eg,MF,Arsenal,31,1992,0.3,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,Matches
169,Emerson,br,DF,Tottenham,24,1999,12.9,36,24,23,10,3,21,43,48.8,22,23,10,13,20,56,50,1,Matches
170,Julio Enciso,py,"MF,FW",Brighton,19,2004,5.3,6,2,3,2,1,2,7,28.6,5,11,0,11,0,6,3,0,Matches
171,Wataru Endo,jp,MF,Liverpool,30,1993,19.1,48,28,11,31,6,20,61,32.8,41,24,2,22,20,68,31,3,Matches
172,Christian Eriksen,dk,MF,Manchester Utd,31,1992,12.7,18,13,5,10,3,12,33,36.4,21,17,6,11,4,22,13,0,Matches
173,Maxime Estève,fr,DF,Burnley,21,2002,14.5,27,10,15,12,0,18,32,56.3,14,21,10,11,27,54,56,0,Matches
174,Pervis Estupiñán,ec,DF,Brighton,25,1998,13.8,26,13,12,11,3,14,30,46.7,16,14,4,10,21,47,20,0,Matches
175,Jonny Evans,nir,DF,Manchester Utd,35,1988,15.5,22,14,20,2,0,12,21,57.1,9,25,18,7,23,45,76,0,Matches
176,Eberechi Eze,eng,"MF,FW",Crystal Palace,25,1998,22.8,35,17,4,18,13,15,31,48.4,16,27,2,25,11,46,6,0,Matches
177,Łukasz Fabiański,pl,GK,West Ham,38,1985,8.0,1,0,1,0,0,1,2,50.0,1,0,0,0,1,2,4,0,Matches
178,Romain Faivre,fr,"MF,FW",Bournemouth,25,1998,0.5,1,1,0,1,0,0,3,0.0,3,0,0,0,0,1,0,0,Matches
179,Ansu Fati,es,"MF,FW",Brighton,20,2002,5.8,5,3,1,2,2,1,11,9.1,10,8,0,8,3,8,3,0,Matches
180,Felipe,br,DF,Nott'ham Forest,34,1989,4.2,12,9,9,3,0,9,12,75.0,3,4,1,3,4,16,12,0,Matches
181,Evan Ferguson,ie,FW,Brighton,18,2004,15.2,14,6,4,7,3,5,14,35.7,9,10,3,7,2,16,8,0,Matches
182,Bruno Fernandes,pt,"MF,FW",Manchester Utd,28,1994,34.6,68,38,27,25,16,30,88,34.1,58,49,6,43,27,95,50,2,Matches
183,Enzo Fernández,ar,MF,Chelsea,22,2001,24.5,50,22,22,18,10,27,65,41.5,38,36,13,23,17,67,28,0,Matches
184,John Fleck,sct,"MF,DF",Sheffield Utd,31,1991,1.0,1,0,0,1,0,0,1,0.0,1,0,0,0,0,1,1,0,Matches
