,player,nationality,position,team,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,matches
168,Mohamed Elneny,eg,MF,Arsenal,31,1992,0.3,0,0,0,1,0,0,0,1,0,0,0,0,2,1,1,50.0,Matches
169,Emerson,br,DF,Tottenham,24,1999,12.9,4,0,0,14,38,0,14,20,24,0,0,0,82,15,21,41.7,Matches
170,Julio Enciso,py,"MF,FW",Brighton,19,2004,5.3,2,0,0,6,10,1,8,0,2,0,0,0,13,1,2,33.3,Matches
171,Wataru Endo,jp,MF,Liverpool,30,1993,19.1,10,0,0,50,25,0,4,20,28,0,0,0,108,31,27,53.4,Matches
172,Christian Eriksen,dk,MF,Manchester Utd,31,1992,12.7,1,0,0,7,3,1,43,4,13,0,0,0,86,1,7,12.5,Matches
173,Maxime Estève,fr,DF,Burnley,21,2002,14.5,6,0,0,25,16,0,5,27,10,0,0,0,62,26,22,54.2,Matches
174,Pervis Estupiñán,ec,DF,Brighton,25,1998,13.8,4,0,0,22,17,5,65,21,13,0,0,1,90,12,14,46.2,Matches
175,Jonny Evans,nir,DF,Manchester Utd,35,1988,15.5,2,0,0,17,13,0,0,23,14,0,0,0,70,36,18,66.7,Matches
176,Eberechi Eze,eng,"MF,FW",Crystal Palace,25,1998,22.8,3,0,0,27,48,11,107,11,17,1,1,0,135,12,24,33.3,Matches
177,Łukasz Fabiański,pl,GK,West Ham,38,1985,8.0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,0,100.0,Matches
178,Romain Faivre,fr,"MF,FW",Bournemouth,25,1998,0.5,1,0,0,2,4,0,3,0,1,0,0,0,1,0,1,0.0,Matches
179,Ansu Fati,es,"MF,FW",Brighton,20,2002,5.8,2,0,0,6,13,2,3,3,3,0,0,0,22,1,10,9.1,Matches
180,Felipe,br,DF,Nott'ham Forest,34,1989,4.2,4,0,0,10,2,0,0,4,9,0,0,0,20,14,6,70.0,Matches
181,Evan Ferguson,ie,FW,Brighton,18,2004,15.2,1,0,0,24,25,5,1,2,6,1,0,0,25,13,18,41.9,Matches
182,Bruno Fernandes,pt,"MF,FW",Manchester Utd,28,1994,34.6,9,0,0,41,28,13,223,27,38,0,0,0,200,21,25,45.7,Matches
183,Enzo Fernández,ar,MF,Chelsea,22,2001,24.5,7,0,0,33,31,4,45,17,22,1,1,0,122,21,23,47.7,Matches
184,John Fleck,sct,"MF,DF",Sheffield Utd,31,1991,1.0,1,0,0,2,2,0,0,0,0,0,0,0,5,2,7,22.2,Matches
185,Mark Flekken,nl,GK,Brentford,30,1993,36.5,3,0,0,2,4,0,0,0,1,0,1,0,41,10,1,90.9,Matches
